Year,Plot,Treatment,Subtreatment,Rainfall,SAMPLEID,SAND,SILT,CLAY,TEXTURE,Water Cap. in/ft,,ORGANIC C%,ORGANIC MATTER %,TOT N,CN RATIO ,CACO3 %,Sampled Date
2023,1,G,GC,,1G,83.1,9.38,7.5,SANDY LOAM,1.20-1.56,1.38,2.1,3.62,1750,12,0.3,45108
2023,1,G,GS,,1G,83.1,9.38,7.5,SANDY LOAM,1.20-1.56,1.38,2.1,3.62,1750,12,0.3,45108
2023,1,S,SC,,1S,75.2,14.8,10,SANDY LOAM,1.20-1.56,1.38,2.35,4.05,1910,12.3,0.16,45108
2023,1,S,SS,,1S,75.2,14.8,10,SANDY LOAM,1.20-1.56,1.38,2.35,4.05,1910,12.3,0.16,45108
2023,1,U,UC,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,1,U,UM,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,1,U,UMS,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,1,U,US,,1U,74.4,14.4,11.3,SANDY LOAM,1.20-1.56,1.38,2.21,3.81,1810,12.2,0.99,45108
2023,10,G,GC,,10G,68.8,16.3,15,SANDY LOAM,1.20-1.56,1.38,1.96,3.38,1460,13.4,0.15,45108
2023,10,G,GS,,10G,68.8,16.3,15,SANDY LOAM,1.20-1.56,1.38,1.96,3.38,1460,13.4,0.15,45108
2023,10,S,SC,,10S,68.8,13.8,17.5,SANDY LOAM,1.20-1.56,1.38,2.64,4.55,1990,13.3,0.21,45108
2023,10,S,SS,,10S,68.8,13.8,17.5,SANDY LOAM,1.20-1.56,1.38,2.64,4.55,1990,13.3,0.21,45108
2023,10,U,UC,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
2023,10,U,UM,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
2023,10,U,UMS,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
2023,10,U,US,,10U,56.3,23.8,20,SANDY CLAY LOAM,"1.68-2.16
",1.92,2.43,4.19,2020,12,0.15,45108
2023,2,G,GC,,2G,85,7.5,7.5,SANDY LOAM,1.20-1.56,1.38,1.43,2.47,1200,11.9,0.18,45108
2023,2,G,GS,,2G,85,7.5,7.5,SANDY LOAM,1.20-1.56,1.38,1.43,2.47,1200,11.9,0.18,45108
2023,2,S,SC,,2S,83.8,8.75,7.5,SANDY LOAM,1.20-1.56,1.38,1.63,2.81,1390,11.7,0.12,45108
2023,2,S,SS,,2S,83.8,8.75,7.5,SANDY LOAM,1.20-1.56,1.38,1.63,2.81,1390,11.7,0.12,45108
2023,2,U,UC,,2U,78.8,11.3,10,SANDY LOAM,1.20-1.56,1.38,2.18,3.76,1800,12.1,0.11,45108
2023,2,U,UM,,2U,78.8,11.3,10,SANDY LOAM,1.20-1.56,1.38,2.18,3.76,1800,12.1,0.11,45108
2023,2,U,UMS,,2U,78.8,11.3,10,SANDY LOAM,1.20-1.56,1.38,2.18,3.76,1800,12.1,0.11,45108
2023,2,U,US,,2U,78.8,11.3,10,SANDY LOAM,1.20-1.56,1.38,2.18,3.76,1800,12.1,0.11,45108
2023,3,G,GC,,3G,54.4,23.1,22.5,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.19,5.5,2490,12.8,<0.10,45108
2023,3,G,GS,,3G,54.4,23.1,22.5,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.19,5.5,2490,12.8,<0.11,45108
2023,3,S,SC,,3S,53.1,25.6,21.3,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.71,6.4,2960,12.5,0.29,45108
2023,3,S,SS,,3S,53.1,25.6,21.3,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.71,6.4,2960,12.5,0.29,45108
2023,3,U,UC,,3U,51.3,23.8,25,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.57,6.15,2940,12.1,0.2,45108
2023,3,U,UM,,3U,51.3,23.8,25,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.57,6.15,2940,12.1,0.2,45108
2023,3,U,UMS,,3U,51.3,23.8,25,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.57,6.15,2940,12.1,0.2,45108
2023,3,U,US,,3U,51.3,23.8,25,SANDY CLAY LOAM,"1.68-2.16
",1.92,3.57,6.15,2940,12.1,0.2,45108
2023,4,G,GC,,4G,77.5,11.3,11.3,SANDY LOAM,1.20-1.56,1.38,2.06,3.55,1670,12.3,0.21,45108
2023,4,G,GS,,4G,77.5,11.3,11.3,SANDY LOAM,1.20-1.56,1.38,2.06,3.55,1670,12.3,0.21,45108
2023,4,S,SC,,4S,71.9,18.1,10,SANDY LOAM,1.20-1.56,1.38,2.35,4.05,2030,11.6,0.26,45108
2023,4,S,SS,,4S,71.9,18.1,10,SANDY LOAM,1.20-1.56,1.38,2.35,4.05,2030,11.6,0.26,45108
2023,4,U,UC,,4U,73.8,15,11.3,SANDY LOAM,1.20-1.56,1.38,2.5,4.31,2080,12,0.27,45108
2023,4,U,UM,,4U,73.8,15,11.3,SANDY LOAM,1.20-1.56,1.38,2.5,4.31,2080,12,0.27,45108
2023,4,U,UMS,,4U,73.8,15,11.3,SANDY LOAM,1.20-1.56,1.38,2.5,4.31,2080,12,0.27,45108
2023,4,U,US,,4U,73.8,15,11.3,SANDY LOAM,1.20-1.56,1.38,2.5,4.31,2080,12,0.27,45108
2023,5,G,GC,,5G,29.4,29.4,41.3,CLAY,"1.44-1.80
",1.62,2.57,4.43,2320,11.1,0.21,45108
2023,5,G,GS,,5G,29.4,29.4,41.3,CLAY,"1.44-1.80
",1.62,2.57,4.43,2320,11.1,0.21,45108
2023,5,S,SC,,5S,41.9,25.6,32.5,CLAY LOAM,"2.04-2.52
",2.28,2.71,4.67,2420,11.2,0.39,45108
2023,5,S,SS,,5S,41.9,25.6,32.5,CLAY LOAM,"2.04-2.52
",2.28,2.71,4.67,2420,11.2,0.39,45108
2023,5,U,UC,,5U,35,33.8,31.3,CLAY LOAM,"2.04-2.52
",2.28,3.9,6.72,3360,11.6,0.15,45108
2023,5,U,UM,,5U,35,33.8,31.3,CLAY LOAM,"2.04-2.52
",2.28,3.9,6.72,3360,11.6,0.15,45108
2023,5,U,UMS,,5U,35,33.8,31.3,CLAY LOAM,"2.04-2.52
",2.28,3.9,6.72,3360,11.6,0.15,45108
2023,5,U,US,,5U,35,33.8,31.3,CLAY LOAM,"2.04-2.52
",2.28,3.9,6.72,3360,11.6,0.15,45108
2023,6,G,GC,,6G,78.8,12.5,8.75,SANDY LOAM,1.20-1.56,1.38,1.86,3.21,1530,12.2,0.3,45108
2023,6,G,GS,,6G,78.8,12.5,8.75,SANDY LOAM,1.20-1.56,1.38,1.86,3.21,1530,12.2,0.3,45108
2023,6,S,SC,,6S,76.9,13.1,10,SANDY LOAM,1.20-1.56,1.38,2.44,4.21,2220,11,0.35,45108
2023,6,S,SS,,6S,76.9,13.1,10,SANDY LOAM,1.20-1.56,1.38,2.44,4.21,2220,11,0.35,45108
2023,6,U,UC,,6U,78.8,10,11.3,SANDY LOAM,1.20-1.56,1.38,1.99,3.43,1610,12.4,0.2,45108
2023,6,U,UM,,6U,78.8,10,11.3,SANDY LOAM,1.20-1.56,1.38,1.99,3.43,1610,12.4,0.2,45108
2023,6,U,UMS,,6U,78.8,10,11.3,SANDY LOAM,1.20-1.56,1.38,1.99,3.43,1610,12.4,0.2,45108
2023,6,U,US,,6U,78.8,10,11.3,SANDY LOAM,1.20-1.56,1.38,1.99,3.43,1610,12.4,0.2,45108
2023,7,G,GC,,7G,73.1,11.9,15,SANDY LOAM,1.20-1.56,1.38,3.55,6.12,3080,11.5,0.17,45108
2023,7,G,GS,,7G,73.1,11.9,15,SANDY LOAM,1.20-1.56,1.38,3.55,6.12,3080,11.5,0.17,45108
2023,7,S,SC,,7S,70,13.8,16.3,SANDY LOAM,1.20-1.56,1.38,3.2,5.52,2760,11.6,0.23,45108
2023,7,S,SS,,7S,70,13.8,16.3,SANDY LOAM,1.20-1.56,1.38,3.2,5.52,2760,11.6,0.23,45108
2023,7,U,UC,,7U,66.3,18.8,15,SANDY LOAM,1.20-1.56,1.38,2.65,4.57,2340,11.3,0.24,45108
2023,7,U,UM,,7U,66.3,18.8,15,SANDY LOAM,1.20-1.56,1.38,2.65,4.57,2340,11.3,0.24,45108
2023,7,U,UMS,,7U,66.3,18.8,15,SANDY LOAM,1.20-1.56,1.38,2.65,4.57,2340,11.3,0.24,45108
2023,7,U,US,,7U,66.3,18.8,15,SANDY LOAM,1.20-1.56,1.38,2.65,4.57,2340,11.3,0.24,45108
2023,8,G,GC,,8G,71.3,16.3,12.5,SANDY LOAM,1.20-1.56,1.38,2.33,4.02,1930,12.1,0.23,45108
2023,8,G,GS,,8G,71.3,16.3,12.5,SANDY LOAM,1.20-1.56,1.38,2.33,4.02,1930,12.1,0.23,45108
2023,8,S,SC,,8S,70,16.3,13.8,SANDY LOAM,1.20-1.56,1.38,2.32,4,1910,12.1,0.11,45108
2023,8,S,SS,,8S,70,16.3,13.8,SANDY LOAM,1.20-1.56,1.38,2.32,4,1910,12.1,0.11,45108
2023,8,U,UC,,8U,83.1,8.13,8.75,SANDY LOAM,1.20-1.56,1.38,2.49,4.29,2150,11.6,<0.10,45108
2023,8,U,UM,,8U,83.1,8.13,8.75,SANDY LOAM,1.20-1.56,1.38,2.49,4.29,2150,11.6,<0.11,45108
2023,8,U,UMS,,8U,83.1,8.13,8.75,SANDY LOAM,1.20-1.56,1.38,2.49,4.29,2150,11.6,<0.12,45108
2023,8,U,US,,8U,83.1,8.13,8.75,SANDY LOAM,1.20-1.56,1.38,2.49,4.29,2150,11.6,<0.13,45108
2023,9,G,GC,,9G,71.3,15,13.8,SANDY LOAM,1.20-1.56,1.38,2.74,4.72,2310,11.9,0.2,45108
2023,9,G,GS,,9G,71.3,15,13.8,SANDY LOAM,1.20-1.56,1.38,2.74,4.72,2310,11.9,0.2,45108
2023,9,S,SC,,9S,74.4,13.1,12.5,SANDY LOAM,1.20-1.56,1.38,2.67,4.6,2250,11.9,0.23,45108
2023,9,S,SS,,9S,74.4,13.1,12.5,SANDY LOAM,1.20-1.56,1.38,2.67,4.6,2250,11.9,0.23,45108
2023,9,U,UC,,9U,71.3,13.8,15,SANDY LOAM,1.20-1.56,1.38,3.04,5.24,2340,13,0.15,45108
2023,9,U,UM,,9U,71.3,13.8,15,SANDY LOAM,1.20-1.56,1.38,3.04,5.24,2340,13,0.15,45108
2023,9,U,UMS,,9U,71.3,13.8,15,SANDY LOAM,1.20-1.56,1.38,3.04,5.24,2340,13,0.15,45108
2023,9,U,US,,9U,71.3,13.8,15,SANDY LOAM,1.20-1.56,1.38,3.04,5.24,2340,13,0.15,45108
